institution_en,institution_cn,admin_level,url,page_found_on,notes,live_status,live_tested,live_notes
Changsha,长沙市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Changzhi,长治市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Fuxin,阜新市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Fuyang,阜阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Fangchenggang,防城港市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yangjiang,阳江市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yangquan,阳泉市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Aksu Prefecture,阿克苏地区,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Altay Prefecture,阿勒泰地区,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ngawa Tibetan and Qiang Autonomous Prefecture,阿坝藏族羌族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Alxa League,阿拉善盟,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ngari Prefecture,阿里地区,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Longnan,陇南市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Suizhou,随州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ya'an,雅安市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Qingdao,青岛市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Anshan,鞍山市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shaoguan,韶关市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ma'anshan,马鞍山市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhumadian,驻马店市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jixi,鸡西市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Hebi,鹤壁市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Hegang,鹤岗市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yingtan,鹰潭市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Huanggang,黄冈市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Huangnan Tibetan Autonomous Prefecture,黄南藏族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Huangshan,黄山市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Huangshi,黄石市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Heihe,黑河市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Qiandongnan Miao and Dong Autonomous Prefecture,黔东南苗族侗族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Qiannan Buyei and Miao Autonomous Prefecture,黔南布依族苗族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Qianxinan Buyei and Miao Autonomous Prefecture,黔西南布依族苗族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Qiqihar,齐齐哈尔市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Longyan,龙岩市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Hohhot,呼和浩特市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Baotou,包头市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Wuhai,乌海市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Chifeng,赤峰市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Tongliao,通辽市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Hulunbuir,呼伦贝尔市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ordos,鄂尔多斯市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Bayannur,巴彦淖尔市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ulanqab,乌兰察布市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Dongguan,东莞市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhongshan,中山市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Sansha,三沙市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shanghai,上海市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Beijing,北京市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Tianjin,天津市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Chongqing,重庆市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Alar,阿拉尔市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Macau Special Administrative Region,澳门特别行政区,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Baisha Li Autonomous County,白沙黎族自治县,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Baoting Li and Miao Autonomous County,保亭黎族苗族自治县,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Beitun,北屯市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Changjiang Li Autonomous County,昌江黎族自治县,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Chengmai County,澄迈县,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ding'an County,定安县,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Dongfang,东方市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Huyanghe,胡杨河市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jiyuan,济源市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ledong Li Autonomous County,乐东黎族自治县,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Lingao County,临高县,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Lingshui Li Autonomous County,陵水黎族自治县,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Qianjiang,潜江市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Qionghai,琼海市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Qiongzhong Li and Miao Autonomous County,琼中黎族苗族自治县,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shennongjia Forestry District,神农架林区,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shihezi,石河子市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Tianmen,天门市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Tumxuk,图木舒克市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Tunchang County,屯昌县,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Wanning,万宁市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Wenchang,文昌市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Wujiaqu,五家渠市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Wuzhishan,五指山市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xiantao,仙桃市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Hong Kong Special Administrative Region,香港特别行政区,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Baiyang,白杨市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
"Official Weibo accounts of government units and news organisations (>20,000 accounts)",政务微博账号（2万+）,mixed,,WP3 First progress report (ugent PDF); D3.6; D3.7,crawl target for discourses/narratives (Task 3.2); not listed as issuer filter on reconnectchina.org UI,no-seed-url,,
Centralized website for citizen complaints to the government,（未具名）政务投诉集中网站,central,,WP3 First progress report §4.2.2; D3.6 §4.1.2,crawl target for Task 3.2; URL not published on public pages,no-seed-url,,
Chengdu Science and Technology Bureau website,成都市科学技术局网站,municipal,,WP3 First progress report §4.2.2; D3.6 §4.1.2,crawl target for Task 3.2; URL not stated,no-seed-url,,
Chongqing Science and Technology Bureau website,重庆市科学技术局网站,municipal,,WP3 First progress report §4.2.2; D3.6 §4.1.2,crawl target for Task 3.2; URL not stated,no-seed-url,,
Website storing amendments to charters of listed companies,上市公司章程修订网站（未具名）,unknown,,WP3 First progress report §4.2.2 (DWARC synergy),crawl target for DWARC synergy; URL not stated,no-seed-url,,
List of all province- and prefecture-level units of China (geographic directory),全国省/地级行政区划列表,mixed,,WP3 First progress report §4.2.2,used to identify scrape targets; matches frontend issuer lists,no-seed-url,,
"~320 ministries and localities with ~3,000 webscrapers (coverage statement)",约320个部委与地方网站,mixed,,D3.7 Third progress report §Task 3.1,aggregate crawl-target count: 320 of 380 planned ministries/departments/provincial/prefecture administrations; ~100 localities queried daily,no-seed-url,,
People's Daily (人民日报) online / paper edition,人民日报,party_media,https://paper.people.com.cn/,indexed items e.g. https://reconnectchina.univie.ac.at/items/697706b4cd9db96a0e75dff5/... and 69a0e29d...,[NON-GOV] appears as Source page for news/law republication items (category News),STUB-redirect,2026-09-04,People's Daily paper edition — 267b redirect stub; real content elsewhere (we crawl people).
"Twitter/X accounts of Chinese news organisations, embassies, and diplomats (>300)",中国新闻机构/使馆/外交官推特账号,non_gov_social,,WP3 First progress report §4.2.2; D3.6,[NON-GOV] crawl target for Task 3.3 foreign policy narratives; educational API discontinued June 2023,no-seed-url,,
Weibo (Sina Weibo) platform,新浪微博,non_gov_social,,WP3 progress reports (D3.6/D3.7); podcast/database descriptions,[NON-GOV] platform hosting official gov + news accounts crawled; API/access restrictions noted as blocker in D3.7,no-seed-url,,
